year,zip_code,median_rent,rent_percentage_of_household_income
2014,78721,920,33.9
2014,78722,1055,28.6
2014,78723,850,33.9
2014,78724,953,45.2
2014,78725,1351,37.9
2014,78726,1046,26.4
2014,78727,1147,25.6
2014,78728,962,29.7
2014,78729,1039,28.1
2014,78730,1172,24.3
2014,78731,1119,30.6
2014,78732,1406,28.3
2014,78733,1485,20.6
2014,78734,1328,32.1
2014,78735,1191,29
2014,78736,1348,29
2014,78737,1214,23.7
2014,78738,1373,24.3
2014,78739,2001,33.3
2014,78741,866,36.6
2014,78742,908,20
2014,78744,982,31.4
2014,78745,1058,29.8
2014,78746,1325,24.5
2014,78747,1147,32.6
2014,78748,1181,27
2014,78749,1214,25.6
2014,78750,1097,28.5
2014,78751,905,29.7
2014,78752,831,33.2
2014,78753,869,33.1
2014,78754,1045,30.2
2014,78756,932,26
2014,78757,996,31.8
2014,78758,931,29.4
2014,78759,1032,26.2
2014,94102,872,34.8
2014,94103,946,28.6
2014,94104,718,28.6
2014,94105,2001,23.4
2014,94107,2001,23.5
2014,94108,1047,31
2014,94109,1427,27.8
2014,94110,1447,26.1
2014,94111,2001,26.9
2014,94112,1453,36
2014,94114,1844,23.2
2014,94115,1630,26.4
2014,94116,1584,33.2
2014,94117,1773,24.4
2014,94118,1667,27.9
2014,94121,1522,31.2
2014,94122,1714,28.4
2014,94123,1899,21.4
2014,94124,915,32.7
2014,94127,2001,26.8
2014,94129,2001,24.8
2014,94130,1647,30.3
2014,94131,1858,26.4
2014,94132,1822,39.7
2014,94133,1316,29.1
2014,94134,1195,34.5
2014,94158,2001,28.6
2014,94577,1234,30.6
2014,94601,1006,35.7
2014,94602,1159,34.6
2014,94603,1168,42.5
2014,94605,1121,42.7
2014,94606,996,34.4
2014,94607,945,32.9
2014,94608,1345,32.1
2014,94609,1143,29.3
2014,94610,1263,25.9
2014,94611,1222,27.1
2014,94612,905,30.5
2014,94613,,
2014,94618,1517,22.6
2014,94619,1366,35.3
2014,94621,1074,42.2
2014,94704,1338,43.7
2014,94705,1350,31.3
2014,97034,1383,34.3
2014,97035,1214,28.7
2014,97080,960,31.3
2014,97086,1057,35.4
2014,97201,1076,38
2014,97202,935,28.8
2014,97203,865,37.9
2014,97204,550,28.8
2014,97205,803,31.1
2014,97206,979,33.8
2014,97208,,
2014,97209,996,30.4
2014,97210,998,27.5
2014,97211,1099,32.2
2014,97212,1042,27.7
2014,97213,958,31.5
2014,97214,915,29.1
2014,97215,950,28.9
2014,97216,964,38.5
2014,97217,967,32
2014,97218,809,35.3
2014,97219,999,28.6
2014,97220,980,38.9
2014,97221,864,36.5
2014,97222,936,30
2014,97223,951,30.9
2014,97225,1051,24.6
2014,97227,1032,30.7
2014,97229,1035,27.2
2014,97230,871,38.2
2014,97231,1713,32.4
2014,97232,929,31
2014,97233,872,38.5
2014,97236,919,38.7
2014,97239,1103,25.2
2014,97266,890,39
