year,zip_code,median_house_value
2014,97201,542000
2014,97202,362400
2014,97203,223800
2014,97204,69800
2014,97205,396800
2014,97206,228600
2014,97208,
2014,97209,367300
2014,97210,598700
2014,97211,315700
2014,97212,470900
2014,97213,318400
2014,97214,390400
2014,97215,360000
2014,97216,212800
2014,97217,269800
2014,97218,250300
2014,97219,344100
2014,97220,201400
2014,97221,439400
2014,97222,226300
2014,97223,299700
2014,97225,393500
2014,97227,345300
2014,97229,404100
2014,97230,224400
2014,97231,458200
2014,97232,444000
2014,97233,173600
2014,97236,190100
2014,97239,427500
2014,97266,180600
