year,zip_code,total_population,white_population
2014,78729,28786,21627
2014,78730,8591,7786
2014,78731,26412,22428
2014,78732,15312,12722
2014,78733,9404,7854
2014,78734,18498,16797
2014,78735,17548,15559
2014,78736,7030,6253
2014,78737,14167,12459
2014,78738,13794,12208
2014,78739,18068,15092
2014,78741,51274,34739
2014,78742,566,419
2014,78744,45830,31566
2014,78745,58878,50287
2014,78746,27960,24195
2014,78747,16753,12530
2014,78748,44907,36837
2014,78749,35183,29231
2014,78750,27912,22452
2014,78751,13838,11604
2014,78752,19639,12389
2014,78753,53994,32767
2014,78754,16494,8451
2014,78756,8685,7336
2014,78757,23442,20105
2014,78758,45134,27434
2014,78759,40067,31755
2014,94102,28013,12032
2014,94103,24108,10913
2014,94104,223,127
2014,94105,6282,3545
2014,94107,27792,16454
2014,94108,13930,4531
2014,94109,54768,32432
2014,94110,71422,43448
2014,94111,3477,1994
2014,94112,83032,25376
2014,94114,32229,25740
2014,94115,34556,21367
2014,94116,45552,17356
2014,94117,42638,31687
2014,94118,40102,23156
2014,94121,42043,19401
2014,94122,58547,24972
2014,94123,25528,21346
2014,94124,35201,5698
2014,94127,19356,11279
2014,94129,3334,2802
2014,94130,3083,1155
2014,94131,28370,19038
2014,94132,31926,12179
2014,94133,27662,11463
2014,94134,40343,8150
2014,94158,5530,2579
2014,94577,45808,20074
2014,94601,49990,19376
2014,94602,29794,13697
2014,94603,32306,9780
2014,94605,43168,11819
2014,94606,37001,9126
2014,94607,24830,6342
2014,94608,26323,11456
2014,94609,22059,11216
2014,94610,29734,17234
2014,94611,37225,25802
2014,94612,14500,4625
2014,94613,842,384
2014,94618,17007,12069
2014,94619,24146,9223
2014,94621,32269,8936
2014,94704,26334,12839
2014,94705,12790,10301
2014,97034,19201,17746
2014,97035,23762,20353
2014,97080,40501,35494
2014,97086,27466,20816
2014,97201,15732,12389
2014,97202,39901,34809
2014,97203,32033,22841
2014,97204,1275,811
2014,97205,6957,5737
2014,97206,48448,38760
2014,97208,0,0
2014,97209,15519,13303
2014,97210,11708,9792
2014,97211,33014,22339
2014,97212,24498,20823
2014,97213,30597,25171
2014,97214,24673,21717
2014,97215,16165,14488
2014,97216,16381,10768
2014,97217,31708,23752
2014,97218,15325,9511
2014,97219,39966,35335
2014,97220,29730,20100
2014,97221,12241,10604
2014,97222,35323,31336
2014,97223,46538,38929
2014,97225,26118,22052
2014,97227,4393,3279
2014,97229,60679,42136
2014,97230,40997,27522
2014,97231,3842,3574
2014,97232,11838,10255
2014,97233,41571,28542
2014,97236,37418,26461
2014,97239,15906,13437
2014,97266,34119,23333
