Year,ZCTA5,Median household income
2000,11201,56293
2000,11203,37341
2000,11204,31798
2000,11205,28070
2000,11206,18661
2000,11207,24163
2000,11208,27078
2000,11209,44518
2000,11210,42967
2000,11211,23567
2000,11212,20839
2000,11213,26366
2000,11214,33765
2000,11215,53313
2000,11216,25135
2000,11217,49567
2000,11218,36432
2000,11219,26648
2000,11220,30152
2000,11221,22305
2000,11222,33578
2000,11223,32104
2000,11224,21281
2000,11225,30192
2000,11226,29498
2000,11228,44932
2000,11229,37812
2000,11230,32327
2000,11231,45154
2000,11232,28395
2000,11233,22754
2000,11234,51446
2000,11235,31013
2000,11236,42370
2000,11237,23104
2000,11238,39917
2000,11239,16919
2000,78610,60528
2000,78613,69542
2000,78617,40392
2000,78641,57294
2000,78652,69831
2000,78653,50260
2000,78660,65978
2000,78664,59829
2000,78681,74889
2000,78701,35757
2000,78702,23348
2000,78703,54591
2000,78704,35733
2000,78705,14740
2000,78717,87290
2000,78719,36480
2000,78721,26646
2000,78722,35794
2000,78723,34242
2000,78724,36641
2000,78725,47076
2000,78726,89891
2000,78727,62648
2000,78728,51078
2000,78729,59497
2000,78730,128524
2000,78731,62404
2000,78732,103951
2000,78733,102239
2000,78734,74052
2000,78735,75204
2000,78736,62294
2000,78737,87029
2000,78738,102295
2000,78739,102707
2000,78741,25369
2000,78742,28281
2000,78744,38256
2000,78745,43458
2000,78746,100571
2000,78747,60861
2000,78748,57710
2000,78749,68244
2000,78750,78428
2000,78751,29779
2000,78752,30207
2000,78753,38206
2000,78754,51810
2000,78756,36978
2000,78757,45090
2000,78758,42398
2000,78759,61284
2000,94102,22351
2000,94103,31131
2000,94104,14609
2000,94105,88976
2000,94107,61362
2000,94108,31542
2000,94109,43444
2000,94110,53795
2000,94111,56569
2000,94112,57629
2000,94114,75727
2000,94115,54879
2000,94116,66627
2000,94117,63983
2000,94118,61609
2000,94121,61776
2000,94122,60733
2000,94123,84710
2000,94124,37146
2000,94127,95313
2000,94129,73571
2000,94130,80959
2000,94131,76044
2000,94132,55000
2000,94133,40990
2000,94134,54342
2000,94577,50888
2000,94601,33152
2000,94602,55321
2000,94603,34755
2000,94605,47288
2000,94606,32273
2000,94607,21124
2000,94608,33556
2000,94609,34398
2000,94610,49066
2000,94611,68853
2000,94612,20034
2000,94618,77952
2000,94619,54174
2000,94621,29181
2000,94704,19750
2000,94705,68112
2000,97034,84192
2000,97035,62089
2000,97080,56742
2000,97201,42569
2000,97202,39879
2000,97203,35266
2000,97204,10465
2000,97205,18158
2000,97206,38040
2000,97209,22185
2000,97210,42759
2000,97211,40582
2000,97212,53679
2000,97213,44395
2000,97214,35013
2000,97215,48262
2000,97216,38066
2000,97217,38442
2000,97218,37011
2000,97219,58461
2000,97220,39649
2000,97221,65229
2000,97222,40899
2000,97223,52527
2000,97225,53020
2000,97227,27432
2000,97229,70082
2000,97230,41262
2000,97231,65164
2000,97232,35755
2000,97233,35291
2000,97236,43515
2000,97266,37234
